,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7115800000000001,0.61316,5.04,-6.7793600000000005,0.62,0.18442000000000003,0.28808000000000006,0.0264356656,0.12782,0.5895,125.25666000000001,4.04
std,0.15423796747962187,0.17416264507286142,3.3743328894730573,2.8822916389992357,0.4903143514780145,0.1782050538691027,0.24886553281740284,0.12776155632683264,0.07255020218259003,0.19768902088783744,32.54107310336854,0.19794866372215744
min,0.348,0.225,0.0,-13.285,0.0,0.0276,0.00237,0.0,0.0441,0.172,70.956,4.0
max,0.9490000000000001,0.972,11.0,-0.9690000000000001,1.0,0.902,0.941,0.785,0.337,0.9590000000000001,190.178,5.0
