,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6577200000000001,0.54026,5.0,-7.513699999999997,0.6,0.13803200000000002,0.36061519999999997,0.0136290424,0.167914,0.4518,122.06970000000001,4.02
std,0.19584354855395184,0.18167461494189469,3.3926691677251193,2.630625488203077,0.49487165930539356,0.11741994657238279,0.32830873748833383,0.09286301726482193,0.10067827321701132,0.19445916627132487,27.120274163512462,0.3187987657774485
min,0.228,0.11900000000000001,0.0,-14.454,0.0,0.0277,0.00122,0.0,0.0356,0.106,62.474,3.0
max,0.934,0.828,11.0,-2.3169999999999997,1.0,0.426,0.9540000000000001,0.657,0.46,0.8959999999999999,180.051,5.0
