date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2020-01-23,0.7230600000000001,0.6164999999999999,5.62,-7.011979999999997,0.44,0.142728,0.30890414600000005,0.0401730512,0.158796,0.49241399999999996,118.87853999999999,3.98
2020-01-16,0.7562399999999998,0.5989400000000001,5.86,-7.004859999999999,0.46,0.14511599999999997,0.3072941460000001,0.022571007200000003,0.155162,0.5364000000000001,116.57488000000001,4.0
2020-01-09,0.7333799999999998,0.5678799999999999,5.4,-7.2701400000000005,0.48,0.14028399999999996,0.35950940000000003,0.020008030999999992,0.152944,0.5258400000000001,116.66431999999999,3.96
2020-01-02,0.74512,0.60962,5.58,-7.056259999999998,0.52,0.15150600000000003,0.3360694,0.033293128400000004,0.16610000000000005,0.5464600000000001,123.64864000000001,4.0
2019-12-26,0.7064400000000001,0.5660799999999998,5.72,-7.344919999999998,0.56,0.141596,0.4008734000000001,0.0141390194,0.134144,0.48387999999999987,123.22708000000004,4.0
2019-12-19,0.7013399999999999,0.5616199999999999,5.54,-7.443780000000001,0.5,0.134194,0.41037500000000016,0.013648330599999998,0.14118400000000006,0.4758580000000001,119.36210000000001,3.98
2019-12-12,0.7005199999999998,0.5650399999999999,5.52,-7.430219999999999,0.56,0.14067200000000002,0.40782199999999996,0.028238077999999996,0.14790199999999998,0.481858,118.76547999999998,3.86
2019-12-05,0.73536,0.6085200000000002,5.44,-7.758859999999999,0.5,0.138962,0.3492642000000001,0.0490232058,0.16813,0.492266,122.70781999999997,3.98
2019-11-28,0.7147999999999998,0.5774800000000001,5.62,-8.42856,0.38,0.13478800000000002,0.3758302,0.060394854199999994,0.16376,0.45420600000000005,119.89828,3.84
2019-11-21,0.7108799999999998,0.5898199999999998,5.36,-8.164200000000001,0.46,0.14455,0.37043496000000004,0.07289981379999999,0.14381400000000003,0.47394800000000004,116.56142000000001,3.98
2019-11-14,0.6932200000000001,0.6186600000000001,5.16,-7.495240000000003,0.48,0.12233800000000002,0.3434409600000001,0.0460377202,0.15256800000000004,0.48034600000000005,121.90797999999997,3.92
2019-11-07,0.6774199999999999,0.5708619999999999,6.28,-7.95468,0.38,0.09173999999999999,0.38645162,0.073996049,0.16604,0.48531199999999997,120.39956000000002,3.88
2019-10-31,0.6985799999999999,0.5693619999999998,6.14,-8.060939999999999,0.44,0.12365000000000002,0.3513072000000001,0.09154457439999998,0.165304,0.4781439999999999,117.39596,3.8
2019-10-24,0.7300200000000001,0.573,5.78,-7.6104199999999995,0.48,0.15860199999999997,0.3540498199999999,0.0636583254,0.171322,0.48258600000000007,122.20703999999999,3.92
2019-10-17,0.7288000000000002,0.6120000000000002,5.38,-7.073520000000001,0.46,0.14034799999999997,0.3134001799999999,0.039394803000000006,0.176588,0.5241460000000001,125.80411999999998,3.9
2019-10-10,0.7426000000000001,0.6301159999999999,5.44,-7.1371600000000015,0.4,0.14358600000000005,0.31527916,0.041952615000000006,0.16212800000000002,0.5291859999999999,121.80269999999994,3.92
2019-10-03,0.7372599999999998,0.63294,5.22,-6.84082,0.34,0.130206,0.3120659599999999,0.0471398882,0.166936,0.522346,116.62011999999999,3.94
2019-09-26,0.73914,0.6296999999999999,5.32,-6.94844,0.38,0.13545800000000002,0.28708675999999994,0.023911814199999996,0.16348000000000001,0.5286799999999999,119.02018,3.92
2019-09-19,0.7437799999999997,0.6592,5.06,-6.713039999999999,0.36,0.13335799999999998,0.273378,0.04164598340000001,0.159754,0.5634859999999999,118.74447999999998,3.9
2019-09-12,0.74568,0.6553399999999998,5.24,-6.743779999999999,0.44,0.151254,0.28360346,0.024225632400000006,0.162924,0.5462260000000001,120.50490000000005,3.92
2019-09-05,0.72252,0.6577799999999998,5.48,-7.105179999999999,0.48,0.14904599999999996,0.24493193999999993,0.05028954960000001,0.16207999999999997,0.5414400000000001,116.82248000000003,3.94
2019-08-29,0.7300400000000004,0.6391999999999999,4.54,-7.40328,0.5,0.14191600000000004,0.27723646,0.027698745800000008,0.16084400000000001,0.499888,121.16746,4.04
2019-08-22,0.7354800000000001,0.6419199999999998,5.32,-7.09948,0.46,0.158956,0.28615462,0.015237042800000003,0.17177399999999995,0.5219800000000001,120.19366000000002,4.0
2019-08-15,0.72312,0.6504999999999999,5.44,-6.9200199999999965,0.42,0.16672600000000004,0.30262578000000007,0.022182233800000003,0.16819000000000003,0.5318999999999999,121.61721999999997,4.02
2019-08-08,0.73268,0.6184799999999998,4.8,-7.231239999999998,0.48,0.16186,0.27983610000000003,0.0206701998,0.173816,0.5169000000000001,120.72643999999998,4.02
2019-08-01,0.74626,0.65626,4.62,-6.98164,0.4,0.151198,0.27948884,0.03357602700000001,0.161768,0.528706,118.02360000000004,3.98
2019-07-25,0.74926,0.6714799999999999,5.06,-7.142099999999997,0.3,0.117188,0.31389346,0.0179489978,0.18677,0.569546,118.67034000000005,3.96
2019-07-18,0.7610200000000001,0.6862600000000001,5.58,-6.8543,0.38,0.11035800000000004,0.23789500000000005,0.0048530406,0.16179200000000005,0.58236,119.46374,3.98
2019-07-11,0.7697600000000002,0.6643399999999998,5.8,-6.82218,0.44,0.13247800000000004,0.242473,0.0047352667999999995,0.146164,0.52346,122.08462,3.96
2019-07-04,0.7806200000000003,0.6230000000000002,6.02,-7.247340000000001,0.42,0.161846,0.2638329999999998,0.009663765999999997,0.14939000000000002,0.4849000000000001,121.28421999999999,4.0
