,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.5702400000000001,0.63102,5.7,-6.5222000000000016,0.74,0.097084,0.22338872,0.0081700958,0.20991799999999997,0.35757000000000005,122.65790000000001,3.9
std,0.18396467717738532,0.17287597181983697,3.6154430670982185,2.351088484346025,0.4430874976934522,0.09710591810292638,0.24172458908258485,0.047098629492802385,0.1999461567216412,0.22267427410219343,30.16107816392186,0.3030457633656632
min,0.265,0.271,0.0,-11.932,0.0,0.031,0.000239,0.0,0.0424,0.0601,54.747,3.0
max,0.909,0.9359999999999999,11.0,-2.4459999999999997,1.0,0.473,0.772,0.33,0.935,0.9390000000000001,191.702,4.0
