,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.579742,0.6107199999999999,5.3,-7.03552,0.52,0.067722,0.3532144740000001,0.08653007340000002,0.19424599999999995,0.45188,121.11144,3.82
std,0.1690843456831591,0.20775348814577024,3.7375644148431806,3.4660310021341556,0.5046720495044484,0.052047055985278305,0.3358973525038915,0.2415897805189211,0.150646324839855,0.2399382845820218,28.50759072000985,0.6288960200872894
min,0.0831,0.20800000000000002,0.0,-20.623,0.0,0.0227,2.95e-05,0.0,0.0473,0.0375,80.00399999999999,1.0
max,0.8690000000000001,0.9390000000000001,11.0,-2.0,1.0,0.256,0.943,0.9329999999999999,0.6990000000000001,0.9620000000000001,196.12099999999998,4.0
