date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2020-01-23,0.6147200000000003,0.5234859999999999,5.62,-8.361220000000003,0.66,0.07505799999999999,0.42596399999999995,0.046320276400000006,0.13912399999999994,0.41783999999999993,127.19722000000002,4.0
2020-01-16,0.6382400000000003,0.545092,5.76,-7.650840000000001,0.68,0.068562,0.4100914,0.027831156599999997,0.151234,0.41772999999999993,121.40767999999998,3.96
2020-01-09,0.60856,0.5461720000000002,5.62,-7.504840000000001,0.6,0.075198,0.3790921999999998,0.004217289400000001,0.18087799999999998,0.420072,124.75791999999994,3.96
2020-01-02,0.61468,0.5577320000000001,5.28,-7.4069,0.6,0.08128400000000001,0.4312741999999999,0.000564887,0.17789600000000003,0.44549999999999995,126.43060000000001,4.04
2019-12-26,0.5944,0.531922,5.6,-7.55196,0.68,0.072772,0.47254962000000006,0.0308175272,0.16052799999999998,0.42279999999999995,130.19400000000002,4.0
2019-12-19,0.5738,0.5000800000000001,5.34,-7.6910599999999985,0.74,0.07313000000000003,0.47357701999999996,0.013942939000000001,0.16525399999999998,0.3734000000000001,120.45111999999999,3.98
2019-12-12,0.5570599999999998,0.5036799999999999,5.8,-7.952900000000002,0.7,0.07839999999999998,0.4570987999999999,0.06417877739999998,0.139312,0.36178000000000005,120.59958,4.0
2019-12-05,0.5834399999999998,0.4837779999999998,6.3,-8.992580000000002,0.78,0.065098,0.4987929999999999,0.027896074400000005,0.15659800000000001,0.38691400000000004,121.14904,4.02
2019-11-28,0.60734,0.5681999999999998,5.96,-7.19336,0.68,0.0737,0.4167490000000001,0.0020816806,0.14313800000000002,0.3744759999999999,119.13688,4.0
2019-11-21,0.6004600000000001,0.5416102,5.9,-8.277800000000001,0.6,0.06920799999999999,0.3800206,0.056150988799999996,0.15930999999999995,0.41949000000000003,115.28493999999996,3.94
2019-11-14,0.6275400000000001,0.5897599999999997,5.22,-7.11,0.54,0.08366599999999998,0.3800618,0.017876683,0.15915600000000002,0.46446799999999994,122.05851999999997,3.94
2019-11-07,0.6218400000000002,0.597438,5.74,-7.098959999999997,0.5,0.088304,0.38785959999999997,0.029336390199999996,0.19436000000000006,0.4443480000000001,122.01423999999999,3.94
2019-10-31,0.6341600000000001,0.57034,5.74,-7.333199999999998,0.52,0.08546199999999998,0.43668475999999984,0.017604194599999998,0.16590800000000003,0.4574899999999999,123.82026000000003,3.88
2019-10-24,0.62408,0.5289,5.4,-8.00432,0.64,0.07803999999999997,0.46039515999999997,0.035737992999999996,0.17327199999999998,0.41788999999999993,124.25888000000003,3.9
2019-10-17,0.5915399999999998,0.4921179999999999,6.02,-9.0499,0.66,0.07703999999999998,0.4999507599999999,0.037760285799999994,0.20387000000000005,0.42126200000000014,124.13666000000005,3.9
2019-10-10,0.6040000000000001,0.557786,5.92,-8.05298,0.68,0.08256200000000001,0.37508016,0.042033931399999995,0.192436,0.45585600000000004,123.53470000000003,3.92
2019-10-03,0.6075399999999999,0.5457599999999999,5.5,-7.757619999999998,0.6,0.08698200000000003,0.42450319999999997,0.052358251799999984,0.177242,0.4187060000000001,131.17196000000004,3.84
2019-09-26,0.6138000000000001,0.603486,5.64,-6.783580000000003,0.54,0.07981399999999998,0.40071759999999984,0.0191051798,0.16888400000000003,0.4436899999999999,127.23626,3.92
2019-09-19,0.61236,0.5668999999999997,5.7,-6.819820000000002,0.54,0.07446599999999999,0.4248883400000002,0.0024191656000000002,0.18048999999999998,0.427902,122.37794,3.86
2019-09-12,0.6174599999999999,0.5425499999999999,5.66,-7.237700000000001,0.7,0.06651999999999998,0.48910553999999995,0.0214278248,0.159054,0.4431640000000001,120.86706,3.98
2019-09-05,0.6091399999999999,0.5305399999999999,5.8,-7.53662,0.74,0.05876600000000001,0.4849321999999999,0.016493812200000003,0.16029,0.44526399999999994,118.79947999999999,3.92
2019-08-29,0.63592,0.5466000000000001,5.48,-7.243620000000001,0.64,0.08860000000000003,0.46210980000000007,0.0157083244,0.15291600000000005,0.44800000000000006,119.9611,3.94
2019-08-22,0.64374,0.57508,4.76,-6.836859999999999,0.66,0.08917400000000003,0.3851317999999999,0.006613533,0.175164,0.5158000000000001,119.82667999999998,3.98
2019-08-15,0.6065999999999999,0.5779139999999999,4.42,-7.302919999999999,0.7,0.08544600000000001,0.38754459999999996,0.0257122968,0.17831200000000003,0.43966,121.62392000000004,3.96
2019-08-08,0.61324,0.60704,4.68,-7.230360000000001,0.64,0.10410999999999998,0.36724679999999993,0.007591876400000002,0.199702,0.4301600000000001,121.31550000000004,3.98
2019-08-01,0.63022,0.5760800000000001,4.66,-7.620259999999999,0.62,0.08655000000000003,0.402976,0.0010511986,0.198442,0.45885999999999993,123.07740000000004,4.0
2019-07-25,0.63928,0.5879740000000001,4.82,-7.566380000000001,0.62,0.07918399999999999,0.38099199999999994,0.024179442,0.20175400000000007,0.4860599999999999,124.98863999999998,3.96
2019-07-18,0.6299379999999999,0.5914600000000001,5.44,-7.3921600000000005,0.6,0.08290400000000002,0.37308000000000013,0.032204587400000005,0.198364,0.4625399999999999,120.81152000000002,4.02
2019-07-11,0.65496,0.5821999999999998,5.46,-7.14086,0.54,0.08964400000000002,0.32964420000000005,0.0054936776,0.18283000000000002,0.45270000000000005,120.59175999999998,3.98
2019-07-04,0.61312,0.5742460000000003,4.84,-8.05628,0.62,0.07986199999999999,0.41198200000000007,0.0346173964,0.17765799999999995,0.45664600000000016,118.8965,3.92
