,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6373600000000001,0.6393400000000001,4.74,-6.416420000000001,0.64,0.09126200000000001,0.2622399000000001,0.0366279796,0.19194400000000006,0.4692819999999999,120.28943999999997,3.9
std,0.14451844879051368,0.21852302078326874,3.740620924119307,3.2432329995527236,0.4848732213850611,0.0955263205314939,0.28125401068975253,0.17642440903768888,0.13978538675777383,0.22842978798032168,28.555762094940786,0.4629100498862757
min,0.28600000000000003,0.168,0.0,-17.865,0.0,0.0257,0.000965,0.0,0.0501,0.0901,68.373,1.0
max,0.922,0.971,11.0,-2.244,1.0,0.506,0.988,0.972,0.857,0.941,180.165,4.0
