,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6979399999999998,0.6864999999999999,5.76,-5.745899999999998,0.46,0.15751400000000004,0.1545551282,0.009725595400000002,0.18519800000000003,0.47672200000000003,125.91596000000001,3.92
std,0.17407427572558717,0.1461680958516528,3.185169716427836,1.6741693554154682,0.5034574339058886,0.11678668153378392,0.17497112356523173,0.06815331297925266,0.13152257894152078,0.23860440600992036,30.62571987122948,0.44446711960297225
min,0.382,0.32,0.0,-9.441,0.0,0.0293,6.11e-06,0.0,0.0338,0.0778,77.176,1.0
max,0.98,0.971,11.0,-2.313,1.0,0.46299999999999997,0.731,0.48200000000000004,0.588,0.922,195.918,4.0
