,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7202600000000001,0.7009399999999998,4.96,-5.457040000000001,0.64,0.141376,0.25445739999999994,0.0001875788,0.17892600000000008,0.5763,121.72371999999997,4.02
std,0.11034432380470853,0.14082126607722228,3.4932003921320964,2.432031090026841,0.48487322138506106,0.10069823288480512,0.21294818518769934,0.0007924989514797414,0.12330023223574138,0.19566957257747833,31.383901236429466,0.14142135623730948
min,0.47200000000000003,0.31,0.0,-12.898,0.0,0.0277,0.00381,0.0,0.0344,0.19,80.04,4.0
max,0.903,0.902,11.0,-1.0979999999999999,1.0,0.353,0.94,0.00524,0.634,0.91,192.06799999999998,5.0
