,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7270199999999999,0.6396999999999999,6.0,-6.49336,0.54,0.168636,0.3567296799999999,0.016943011600000002,0.21925000000000006,0.6456800000000001,129.44499999999996,3.9
std,0.13565735497636564,0.1826164990199016,3.3073819722257785,3.403611417903289,0.5034574339058886,0.14987148611734125,0.23514325568838296,0.11449953234911786,0.2318449043948941,0.22644388771992566,30.80590328068268,0.5050762722761054
min,0.38799999999999996,0.114,0.0,-15.809000000000001,0.0,0.0287,0.000194,0.0,0.0454,0.12300000000000001,71.09,1.0
max,0.94,0.934,11.0,0.302,1.0,0.56,0.9690000000000001,0.81,0.971,0.9640000000000001,188.077,5.0
