,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6814399999999998,0.67872,5.94,-6.7918400000000005,0.6,0.11413000000000001,0.17044576,0.07110391199999999,0.21656200000000003,0.4648799999999999,119.86772000000002,3.96
std,0.14272224488030402,0.16166355085012019,3.6332365961034396,2.496674231608023,0.4948716593053935,0.1151694089378861,0.19978422521591868,0.19097177765700496,0.19384843531344118,0.195296492544029,23.49104267330813,0.19794866372215753
min,0.365,0.252,0.0,-14.190999999999999,0.0,0.0286,0.000567,0.0,0.0473,0.1,68.482,3.0
max,0.914,0.9670000000000001,11.0,-2.133,1.0,0.5,0.785,0.9129999999999999,0.815,0.852,186.076,4.0
