,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.5892199999999999,0.6495799999999999,4.52,-7.421640000000002,0.64,0.076272,0.25879461000000004,0.101124352,0.19614800000000002,0.451982,125.05627999999997,3.88
std,0.17047141001544233,0.2128698069099456,3.7863341810532574,3.861417830755106,0.4848732213850611,0.06590202697325533,0.3158635665807643,0.24042169383962098,0.1393380271578613,0.2325167184596955,28.53512150433109,0.32826072265931605
min,0.155,0.162,0.0,-22.195999999999998,0.0,0.0249,3.97e-05,0.0,0.0497,0.0544,82.604,3.0
max,0.907,0.9790000000000001,11.0,-1.4969999999999999,1.0,0.35100000000000003,0.9690000000000001,0.909,0.6890000000000001,0.9520000000000001,191.99099999999999,4.0
