,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.673728,0.6440193999999998,4.9,-6.579299999999998,0.62,0.083742,0.26429674000000003,0.0437843296,0.178354,0.5555640000000001,113.48144,3.92
std,0.17078730421677327,0.1878870167491569,3.813242232868325,3.8324178985308466,0.4903143514780145,0.07272069881907554,0.2738530136464026,0.16779851363230888,0.1537217526200226,0.261951254820512,28.726852346207657,0.2740475156178697
min,0.0724,0.00997,0.0,-23.385,0.0,0.0266,0.000297,0.0,0.043,0.0362,66.095,3.0
max,0.9670000000000001,0.935,11.0,-1.358,1.0,0.327,0.9440000000000001,0.8590000000000001,0.6779999999999999,0.9620000000000001,183.363,4.0
