,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.5730799999999998,0.59486,5.96,-7.425719999999999,0.56,0.07270199999999999,0.3948034999999999,0.053672110999999995,0.13327,0.4644340000000001,119.57775999999998,3.96
std,0.18129408288688276,0.22623953442927586,4.090606461698535,3.3554337658095257,0.5014265364224069,0.06736790094363207,0.32951156834582374,0.18089923140295394,0.06856998287166484,0.2346095093589189,27.34371690360493,0.1979486637221575
min,0.193,0.159,0.0,-15.324000000000002,0.0,0.0229,0.000575,0.0,0.0353,0.0857,82.005,3.0
max,0.841,0.9840000000000001,11.0,-1.058,1.0,0.311,0.96,0.8740000000000001,0.332,0.9259999999999999,190.06799999999998,4.0
