,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.66102,0.6655319999999999,5.42,-6.16854,0.68,0.10257,0.225292,0.050943482199999994,0.13545799999999997,0.4593959999999999,119.06657999999999,3.98
std,0.13551526610289624,0.16750467607240838,3.574798410186145,2.720410857400261,0.47121207149916117,0.10940829399967064,0.22004630631403246,0.1896602284836633,0.07039189740593846,0.21574879474206354,28.02128520926875,0.24660966430902945
min,0.266,0.0596,0.0,-18.515,0.0,0.0312,0.0006900000000000001,0.0,0.0379,0.0479,78.072,3.0
max,0.88,0.9640000000000001,11.0,-1.746,1.0,0.517,0.905,0.929,0.331,0.9009999999999999,186.31099999999998,5.0
