,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6871200000000002,0.6509400000000001,5.26,-6.374939999999999,0.66,0.117144,0.24662912000000006,0.0297709512,0.144546,0.46958,120.34391999999998,3.98
std,0.13948398196384346,0.165411966844936,3.6856589143127523,2.508956482081662,0.47851812069840655,0.11229268818764719,0.2398729384269454,0.14368866640577752,0.08333130878901275,0.18766090673970257,25.479842492096388,0.24660966430902945
min,0.19699999999999998,0.146,0.0,-15.225,0.0,0.0244,0.000308,0.0,0.047,0.113,80.032,3.0
max,0.9309999999999999,0.9640000000000001,11.0,-2.371,1.0,0.45799999999999996,0.897,0.752,0.488,0.941,186.44299999999998,5.0
