,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6761800000000002,0.5521199999999998,5.56,-7.401539999999999,0.44,0.06332599999999998,0.4405263999999999,0.0402114824,0.15120400000000003,0.4936439999999998,117.39208,3.92
std,0.1693112928234588,0.19339656202756458,3.5580320173847078,3.187905608991071,0.5014265364224069,0.05215366936823744,0.31692644725621905,0.17034006489986936,0.1322009323502891,0.22476934223368467,26.51868915161532,0.4444671196029722
min,0.273,0.11,0.0,-18.725,0.0,0.0245,0.00502,0.0,0.0409,0.0477,75.023,1.0
max,0.955,0.9590000000000001,11.0,-1.339,1.0,0.301,0.968,0.905,0.857,0.9740000000000001,185.91299999999998,4.0
