,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6056800000000001,0.719148,5.32,-5.914839999999999,0.68,0.10944400000000001,0.24003584599999997,0.0731248608,0.21689799999999998,0.5188359999999999,123.80115999999998,3.84
std,0.14831811371893472,0.23635102158459487,4.027659471247109,4.110472709098663,0.47121207149916117,0.15147795173299808,0.2548689885261383,0.22802275660268392,0.1488450563916884,0.22744281161448485,25.62704781054739,0.6180945043652556
min,0.23399999999999999,0.0674,0.0,-21.818,0.0,0.0294,1.23e-05,0.0,0.0653,0.0683,76.014,1.0
max,0.8370000000000001,0.973,11.0,-0.39399999999999996,1.0,0.9179999999999999,0.961,0.9420000000000001,0.764,0.961,191.97099999999998,4.0
