,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6759,0.75414,4.22,-5.2261,0.64,0.11438199999999998,0.15619006000000002,0.0108438944,0.20995799999999998,0.5533559999999997,120.76751999999996,3.96
std,0.10786579908499677,0.15857310295126295,3.278190142783805,2.050629283703828,0.4848732213850611,0.08762624173623063,0.2012820853989429,0.039887648003706366,0.14672794496159572,0.2545829283597879,24.300480010577765,0.19794866372215744
min,0.364,0.27699999999999997,0.0,-9.445,0.0,0.0259,0.000321,0.0,0.052000000000000005,0.0398,75.99,3.0
max,0.8859999999999999,0.991,10.0,-0.165,1.0,0.401,0.8420000000000001,0.243,0.672,0.9470000000000001,181.995,4.0
