,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7034600000000002,0.6783799999999998,5.52,-6.24382,0.46,0.10815799999999998,0.24008839999999995,0.0087654768,0.16371600000000006,0.507902,115.81461999999999,3.98
std,0.13140577597344674,0.12947521865167078,3.660266523138467,2.293044297568681,0.5034574339058886,0.09528881573449023,0.19569858798735595,0.045473776654268466,0.12180098246981526,0.22761902155907401,30.44936562181584,0.24660966430902945
min,0.37200000000000005,0.32899999999999996,0.0,-12.603,0.0,0.0282,0.00202,0.0,0.0551,0.0681,70.766,3.0
max,0.966,0.903,11.0,-2.2,1.0,0.426,0.818,0.297,0.6940000000000001,0.941,202.00599999999997,5.0
