,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6912,0.6458399999999997,5.08,-6.47158,0.62,0.12803799999999999,0.23485359999999997,0.028296391800000004,0.157786,0.4834200000000001,121.60258,3.92
std,0.14251888525055625,0.17964265663152681,3.544699981547617,2.3481714995776124,0.4903143514780145,0.11242221236327393,0.25749385436502187,0.11369128173113857,0.09380237151608065,0.20162554604098792,27.77539484396878,0.4444671196029721
min,0.35,0.13699999999999998,0.0,-14.923,0.0,0.0261,0.00182,0.0,0.0222,0.1,77.506,1.0
max,0.9470000000000001,0.9640000000000001,11.0,-2.7289999999999996,1.0,0.369,0.938,0.7,0.376,0.887,192.09900000000002,4.0
