,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.5873400000000001,0.655114,5.18,-7.024659999999999,0.74,0.11532199999999994,0.15280054,0.028763154800000003,0.17428599999999997,0.4551799999999999,119.43585999999996,3.98
std,0.188509904465608,0.19208026809601433,2.9944847262108727,3.837704238319613,0.443087497693452,0.10576082622249747,0.2307486666144251,0.09806785192417439,0.13083550508878214,0.23607817193740321,29.842079862687527,0.3187987657774485
min,0.191,0.0227,0.0,-27.430999999999997,0.0,0.0235,0.00011599999999999999,0.0,0.0215,0.0972,54.747,3.0
max,0.927,0.97,11.0,-3.048,1.0,0.43799999999999994,0.98,0.442,0.742,0.9259999999999999,191.702,5.0
