date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2020-01-23,0.7288800000000002,0.6139,5.36,-5.89186,0.62,0.14745599999999998,0.24671939999999992,0.035619020599999995,0.15437599999999999,0.5393680000000001,129.02259999999995,3.98
2020-01-16,0.7443599999999999,0.6116,5.06,-6.34948,0.62,0.14502400000000001,0.2709468,0.061650162999999994,0.16624400000000006,0.5404079999999999,123.98992,3.98
2020-01-09,0.7264000000000002,0.6007399999999999,5.56,-6.36688,0.64,0.13341600000000003,0.279632,0.0656107086,0.154632,0.5640519999999999,128.13398,4.0
2020-01-02,0.73086,0.68174,5.6,-5.200399999999999,0.62,0.13856600000000005,0.18963320000000003,0.030780911400000003,0.17817000000000005,0.6137999999999998,125.24641999999999,4.02
2019-12-26,0.72414,0.6649799999999999,5.3,-5.3111,0.64,0.14873799999999998,0.20988519999999997,0.015003605399999995,0.163462,0.608,125.46791999999999,3.98
2019-12-19,0.7331600000000003,0.6359799999999999,5.02,-5.79832,0.54,0.15911199999999998,0.2450616,0.0006711858000000001,0.143366,0.59526,122.89043999999998,4.0
2019-12-12,0.71726,0.6450199999999999,5.16,-6.1552,0.64,0.15788800000000003,0.24868179999999998,0.0305194128,0.178328,0.5561999999999998,123.59596000000002,4.0
2019-12-05,0.7183000000000002,0.66786,5.8,-5.835440000000001,0.68,0.129838,0.24360158939999996,0.0316340234,0.157418,0.5951999999999998,124.22419999999998,4.0
2019-11-28,0.7202399999999999,0.66856,6.1,-5.66552,0.66,0.13893000000000003,0.22637939999999998,0.0002487748,0.15232600000000002,0.5835720000000001,124.51616000000001,4.0
2019-11-21,0.7104000000000003,0.67912,5.94,-5.600079999999999,0.66,0.11063199999999997,0.22724779999999994,0.000297233,0.16033400000000003,0.6174119999999998,124.50794,3.98
2019-11-14,0.7077599999999998,0.6711800000000002,5.6,-5.7932000000000015,0.62,0.11496799999999999,0.21710200000000002,0.016559716,0.168236,0.5764499999999998,118.40672000000002,4.0
2019-11-07,0.7163399999999999,0.67156,5.86,-5.647140000000002,0.52,0.11343000000000002,0.19632676,0.032060165,0.17524200000000004,0.60163,120.14965999999997,3.92
2019-10-31,0.72682,0.6497400000000002,5.7,-5.5481799999999994,0.58,0.12152000000000002,0.2491326,0.053532264600000004,0.17760400000000004,0.62393,126.94329999999998,3.9
2019-10-24,0.7367199999999999,0.6786,5.22,-5.44876,0.68,0.13525600000000002,0.24508780000000002,0.05774045259999999,0.16759400000000002,0.62912,125.08829999999996,3.86
2019-10-17,0.7234400000000001,0.6532000000000001,5.42,-5.9406,0.66,0.12352,0.24721600000000002,0.0562491956,0.19530399999999998,0.6167999999999999,120.22482000000004,3.84
2019-10-10,0.6904400000000002,0.67866,6.1,-6.016659999999998,0.56,0.12292,0.19698635600000003,0.039814537600000005,0.17220599999999997,0.60812,124.87564000000002,3.9
2019-10-03,0.69086,0.6852000000000001,5.28,-5.6709,0.56,0.14325400000000002,0.238521004,0.030737951600000004,0.176834,0.5853599999999998,122.91379999999998,3.92
2019-09-26,0.74982,0.6674399999999998,5.18,-5.256120000000001,0.58,0.151828,0.26237260000000007,0.03089308640000001,0.160302,0.6160799999999998,123.94019999999999,3.92
2019-09-19,0.7143999999999998,0.6744400000000002,5.58,-5.738719999999998,0.6,0.16065000000000004,0.35003939999999995,0.025695023400000006,0.177938,0.6301199999999999,125.02061999999998,3.82
2019-09-12,0.72244,0.626744,5.9,-6.1131400000000005,0.64,0.167004,0.2988474000000001,0.025663282000000006,0.161202,0.5923199999999998,120.43814,3.9
2019-09-05,0.7243000000000002,0.6764600000000001,6.32,-6.133020000000001,0.6,0.185172,0.26405594,0.040975771200000004,0.176152,0.6074400000000001,125.97723999999998,3.98
2019-08-29,0.7306800000000002,0.6793600000000002,5.98,-5.600200000000001,0.64,0.181452,0.271156092,0.0743213224,0.15967799999999996,0.6016800000000001,126.32938000000001,4.02
2019-08-22,0.7476,0.66506,5.36,-5.624680000000001,0.58,0.17943599999999996,0.27057546000000005,0.0168623324,0.18218800000000004,0.5874000000000001,123.06144000000002,4.0
2019-08-15,0.7297999999999999,0.6947,5.5,-5.254300000000001,0.54,0.176354,0.2594544,0.014400674799999999,0.187498,0.590958,125.91851999999997,4.0
2019-08-08,0.7395999999999998,0.6864199999999998,6.5,-5.6073400000000015,0.52,0.17145000000000002,0.27582546,0.009567950200000001,0.17421000000000003,0.6016100000000001,124.89234000000002,4.0
2019-08-01,0.7431200000000001,0.68828,5.78,-5.378380000000001,0.58,0.16498600000000002,0.25889860000000015,0.033189978200000005,0.173784,0.6169200000000001,125.10868,4.0
2019-07-25,0.7457,0.6698399999999998,5.3,-5.717899999999999,0.66,0.14270200000000005,0.25753546000000005,0.028890423600000013,0.16078599999999998,0.62774,122.47596,4.04
2019-07-18,0.7547999999999998,0.6861200000000003,4.72,-5.555419999999998,0.68,0.150176,0.24107660000000009,0.020314629799999998,0.16014399999999998,0.6097900000000002,127.22973999999998,4.0
2019-07-11,0.72866,0.6518600000000001,5.58,-5.976519999999999,0.7,0.14165600000000003,0.2653366000000002,0.0250280536,0.16385799999999995,0.5428200000000001,122.37545999999996,4.0
2019-07-04,0.7158599999999998,0.6698800000000003,5.38,-5.705900000000001,0.6,0.15337000000000003,0.29175508000000006,0.022193518400000004,0.14578800000000003,0.5717699999999999,124.95255999999996,4.02
2019-06-27,0.7298199999999998,0.6799200000000001,6.06,-5.460580000000001,0.58,0.15910000000000002,0.27549854,0.012872607799999998,0.163308,0.5922499999999999,126.79099999999998,4.02
2019-06-20,0.75244,0.6471799999999999,4.78,-5.850520000000001,0.66,0.15612400000000004,0.2791476,0.012166225000000001,0.14773999999999998,0.5886699999999999,119.84736000000001,4.02
2019-06-13,0.7273799999999998,0.6542600000000001,4.86,-5.7640199999999995,0.7,0.155794,0.28898508,0.003195565399999999,0.19305399999999998,0.5978899999999999,119.78784000000002,4.0
2019-06-06,0.7316799999999997,0.6427399999999999,5.16,-5.8224,0.58,0.163868,0.26786020000000005,0.0029477952,0.15722400000000003,0.6089920000000001,123.36146,4.02
