,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7442799999999998,0.6604800000000001,5.58,-6.086940000000001,0.56,0.124842,0.266957,0.0008678913999999999,0.140366,0.5778000000000002,121.53929999999998,3.98
std,0.09596152290137447,0.1494953743056136,4.286142835716428,2.3113710429888465,0.5014265364224069,0.08989534752211846,0.23192371106922738,0.003404466526357668,0.08421835228276846,0.2152449008616436,34.213599800610375,0.14142135623730948
min,0.528,0.19699999999999998,0.0,-12.89,0.0,0.0287,0.00615,0.0,0.0344,0.13699999999999998,77.964,3.0
max,0.9359999999999999,0.8909999999999999,11.0,-2.7489999999999997,1.0,0.37799999999999995,0.9309999999999999,0.0212,0.406,0.91,202.00599999999997,4.0
