,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6025999999999999,0.6297,5.2,-7.168840000000002,0.62,0.12262199999999998,0.256106006,0.017186098599999998,0.13588400000000006,0.4554439999999999,109.19609999999999,3.88
std,0.1400014577183584,0.1845039958640352,3.6083802686614534,2.39772091923364,0.4903143514780145,0.10475463905756935,0.2653287174343034,0.10356076563083895,0.07405499985876465,0.22542168119109665,30.582752451674587,0.5205962045225314
min,0.129,0.299,0.0,-14.87,0.0,0.0263,7.829999999999999e-05,0.0,0.0351,0.0742,57.747,1.0
max,0.813,0.965,11.0,-2.287,1.0,0.41100000000000003,0.8140000000000001,0.727,0.354,0.961,188.976,5.0
