CC,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
POL,0.200075912,0.6320600000000001,0.6847399999999999,0.0538054658,5.28,0.199924,-6.813660000000001,0.54,0.09446000000000003,120.16553999999996,3.92,0.4570540000000001
HND,0.2096862,0.6912599999999999,0.6593400000000004,0.00041205360000000016,4.74,0.17438399999999998,-5.716000000000001,0.56,0.08170600000000001,124.17929999999998,3.96,0.5010939999999999
SWE,0.21502016600000007,0.59508,0.6606400000000001,0.0102182598,4.46,0.201492,-6.77588,0.54,0.07946600000000001,120.89892000000002,3.94,0.448304
NOR,0.2346099420000001,0.61506,0.6108999999999999,0.0397666492,4.56,0.218018,-7.4497,0.62,0.08756,124.04672,3.94,0.4052999999999999
LUX,0.2438386,0.6928199999999998,0.62964,0.030061507799999998,5.68,0.14160199999999998,-6.4317600000000015,0.48,0.12539799999999998,118.50635999999993,3.94,0.438152
CYP,0.23835360000000005,0.6462799999999999,0.6509199999999999,0.0016111040000000006,5.2,0.15118199999999998,-6.22698,0.48,0.113616,116.68848,3.98,0.4814119999999999
BRA,0.2769008000000001,0.6843,0.6498999999999998,0.008103538599999998,6.2,0.201466,-6.604419999999999,0.44,0.10591599999999997,119.57964,3.92,0.49661
FRA,0.2727138,0.7228000000000003,0.6513599999999999,0.12409648640000001,4.82,0.175736,-7.13214,0.32,0.140472,122.05226,3.96,0.4700840000000001
ECU,0.17178140000000006,0.6974800000000001,0.7006600000000001,0.0024951572,4.34,0.17871000000000006,-5.452400000000001,0.54,0.07738400000000001,121.23698000000002,4.0,0.5643600000000002
GTM,0.18641900000000008,0.64408,0.6655000000000001,0.0005021887999999999,4.2,0.17085,-5.882159999999999,0.64,0.06237,121.40358,3.98,0.488714
BEL,0.20724044000000005,0.6688600000000001,0.6626399999999998,0.058793086200000004,5.38,0.19771799999999995,-6.7331,0.44,0.16183400000000006,127.24386000000004,4.0,0.4386140000000001
TUR,0.3061258000000001,0.6658000000000002,0.6219199999999999,0.089315459,5.42,0.17247200000000007,-7.4841000000000015,0.34,0.102964,123.82996000000004,3.96,0.444588
NLD,0.15588152000000005,0.7121200000000002,0.6819399999999998,0.0412407656,4.48,0.16354599999999994,-6.892419999999998,0.56,0.149536,126.70778,3.94,0.51112
HKG,0.31888299999999997,0.6142,0.58818,4.52724e-05,4.96,0.147868,-6.548739999999999,0.62,0.07208599999999997,125.40898,3.96,0.40689200000000003
MYS,0.34351302000000017,0.6221599999999999,0.60944,0.0207532214,5.0,0.17812600000000006,-6.306299999999997,0.62,0.07106799999999999,120.86736,3.94,0.41971
IDN,0.3571624600000001,0.5954,0.6168000000000002,0.0242105502,5.06,0.18042799999999992,-6.2420399999999985,0.72,0.06368800000000001,121.72199999999997,3.84,0.4574579999999998
EST,0.2087816,0.6661199999999999,0.6514200000000001,0.04519343280000001,5.26,0.14945799999999992,-6.25948,0.5,0.09872400000000002,120.39435999999998,3.92,0.4276599999999999
ESP,0.2194384454,0.6187800000000001,0.7179400000000002,0.03435362319999999,4.72,0.17748800000000006,-6.136939999999999,0.5,0.09610199999999999,123.6999,3.94,0.5338040000000001
CZE,0.20669808,0.6136800000000001,0.62662,0.0353100672,5.76,0.17848399999999998,-7.08856,0.6,0.092196,124.80408,3.92,0.367172
CRI,0.28476014400000005,0.64482,0.6496600000000001,0.00015871300000000002,4.74,0.17935399999999999,-6.351440000000002,0.58,0.088766,122.95363999999998,3.96,0.4943779999999999
AUS,0.17655604000000005,0.66952,0.634296,0.0447548612,5.1,0.183276,-7.177739999999999,0.56,0.093818,118.78015999999998,4.02,0.42534399999999994
LVA,0.17709640000000004,0.6658200000000001,0.66718,0.008493273800000001,5.6,0.154426,-6.38232,0.56,0.10967400000000001,116.13508,3.98,0.376776
GBR,0.27427988000000003,0.6268199999999999,0.6170599999999999,0.0541132368,5.76,0.189342,-7.2938800000000015,0.56,0.12360800000000002,113.15614000000004,3.94,0.4399659999999999
DEU,0.2428712000000001,0.6677000000000001,0.66864,0.0311094636,5.84,0.201108,-6.725399999999999,0.66,0.167664,118.20485999999997,3.98,0.43846199999999996
URY,0.20099279999999994,0.6714399999999999,0.7233199999999997,0.0049488848,5.0,0.287382,-5.660920000000001,0.6,0.09974999999999996,121.44522,3.94,0.6066199999999999
SVK,0.19538919999999996,0.6449199999999999,0.66188,0.00226773,4.94,0.16322200000000006,-6.062659999999998,0.52,0.09672000000000004,124.38049999999996,3.98,0.4509260000000001
ARG,0.1960556400000001,0.69184,0.7010799999999999,0.032972707999999996,5.48,0.18142199999999994,-6.05832,0.48,0.09336799999999999,122.83094,3.96,0.5817760000000001
TWN,0.3185644,0.6284200000000001,0.6045879999999999,0.0458156558,5.02,0.16642599999999996,-7.4495400000000025,0.5,0.091058,125.8083,3.9,0.414916
USA,0.17968084,0.6981400000000001,0.6764399999999999,0.0005135326000000001,5.12,0.17897800000000005,-6.316759999999999,0.62,0.122146,124.15009999999998,4.02,0.435536
PRT,0.2973842028,0.6658399999999999,0.6294000000000001,0.0226372606,6.64,0.147308,-6.775359999999997,0.5,0.09218,120.02587999999996,3.92,0.48077
IRL,0.2219576,0.64148,0.6472200000000001,0.0236131338,5.52,0.193416,-7.0100599999999975,0.54,0.094678,116.5925,3.92,0.4655740000000001
DOM,0.25281599999999993,0.7151799999999997,0.6687400000000001,0.04759293939999999,4.58,0.160364,-6.013060000000001,0.44,0.096762,120.63261999999996,4.04,0.5645739999999999
CHE,0.24091483999999996,0.6775800000000001,0.6617000000000001,0.05553110940000001,5.98,0.16634600000000002,-6.46338,0.54,0.13601999999999995,123.94802,4.0,0.4793000000000001
LTU,0.205525,0.6786200000000002,0.6218199999999999,0.052297868199999986,5.8,0.14767000000000005,-6.57142,0.5,0.081412,120.38396000000002,3.92,0.3917560000000001
JPN,0.208025656,0.60952,0.7100600000000001,0.0099974514,5.96,0.17445800000000006,-5.404060000000002,0.6,0.066982,117.17344000000007,3.96,0.5045159999999996
BOL,0.191381,0.70144,0.6911200000000001,0.0176003614,4.14,0.160594,-5.490519999999999,0.58,0.084186,122.30698000000002,3.98,0.574766
NIC,0.19011300000000006,0.68674,0.6703800000000001,0.00034745420000000004,4.5,0.17627800000000005,-5.407100000000002,0.58,0.089398,121.39389999999996,3.98,0.5104140000000001
COL,0.22921051400000006,0.6930000000000001,0.6714199999999999,0.0349589488,5.3,0.17138799999999998,-5.8589600000000015,0.52,0.094742,117.55252000000002,3.96,0.519416
HUN,0.18887780900000006,0.628614,0.67,0.038769627,5.92,0.188244,-5.984919999999999,0.56,0.08839000000000002,118.44944,3.92,0.4086739999999999
SGP,0.34029124000000005,0.6414399999999999,0.60006,0.00014049859999999998,4.96,0.16586000000000006,-6.522000000000002,0.58,0.07219400000000001,123.21087999999996,4.0,0.40765
MEX,0.2537696000000001,0.6570599999999999,0.66472,0.0391534826,5.42,0.21500400000000008,-6.88788,0.64,0.08538200000000001,121.69173999999997,3.94,0.627812
