CC,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
LVA,0.27514448,0.70182,0.6184999999999998,0.0340319518,5.8,0.13943599999999998,-6.681520000000003,0.34,0.14914199999999994,122.80042,3.92,0.460056
GBR,0.18813392,0.69304,0.6443399999999998,0.0155879038,5.78,0.178566,-6.700260000000003,0.56,0.171256,128.98680000000002,3.9,0.539
DEU,0.20756107799999995,0.7254,0.6679199999999998,0.034691678600000005,6.0,0.17779,-6.5183599999999995,0.3,0.16219799999999998,128.12470000000002,3.9,0.537734
URY,0.2387792,0.7524,0.68418,0.012507831999999998,5.46,0.17573799999999995,-5.25926,0.56,0.163552,122.91893999999998,3.9,0.6550199999999999
SVK,0.28806562,0.6636600000000001,0.6202600000000001,0.033244177999999985,5.22,0.16256800000000002,-6.613659999999999,0.4,0.145716,123.33785999999996,3.88,0.4841520000000002
ARG,0.23851434,0.7518400000000001,0.6710799999999999,0.0113376198,6.22,0.177472,-5.33162,0.66,0.15266,125.12826,3.88,0.62802
TWN,0.4248883400000002,0.61236,0.5668999999999997,0.0024191656,5.7,0.18049,-6.819820000000003,0.54,0.07446599999999999,122.37794,3.86,0.42790200000000006
USA,0.2508332600000001,0.7126,0.5998800000000001,0.0096182884,5.22,0.18196400000000004,-6.77176,0.58,0.17091199999999998,125.32186000000002,3.86,0.4807120000000002
PRT,0.30715974,0.7345399999999997,0.6544399999999997,0.0211383158,5.9,0.148366,-6.574479999999999,0.5,0.18445999999999999,129.14813999999998,3.86,0.56686
IRL,0.23885400000000004,0.6779800000000001,0.6432599999999998,0.008192925800000002,5.68,0.183598,-6.654740000000001,0.5,0.14671199999999998,127.8369,3.94,0.5331199999999999
DOM,0.31721745999999995,0.7382,0.6487040000000001,0.013799003600000002,5.88,0.209692,-5.96866,0.64,0.19275400000000004,130.11038000000002,3.88,0.6038800000000001
CHE,0.2573278,0.7302599999999999,0.6571383999999999,0.045383512800000005,5.76,0.17714799999999994,-6.642120000000001,0.44,0.14113599999999998,121.87788000000003,3.84,0.5738400000000001
LIE,0.18464588199999998,0.6311800000000002,0.6706200000000001,0.06648959819999999,5.4,0.17343799999999998,-6.861560000000001,0.54,0.08954600000000001,122.19910000000004,3.88,0.4933739999999999
LTU,0.25887180000000004,0.7405399999999996,0.5820599999999998,0.05716886840000001,5.36,0.154034,-7.121099999999997,0.36,0.14509,124.8248,3.94,0.5213599999999999
JPN,0.18187904600000004,0.5922000000000001,0.7776599999999999,0.0348822726,5.66,0.21694200000000005,-4.46726,0.72,0.06713599999999999,130.03144000000003,3.94,0.61358
BOL,0.24473834,0.72942,0.6885400000000002,0.0271702494,5.98,0.17885999999999996,-4.83168,0.64,0.13415599999999994,127.20834,3.9,0.6540800000000001
NIC,0.32276859999999996,0.7115199999999999,0.6476999999999998,0.0181991338,6.12,0.19155000000000005,-5.5350199999999985,0.62,0.15868999999999994,126.54684000000002,3.98,0.61024
COL,0.25256939999999994,0.7501600000000002,0.6906200000000001,0.050971580400000015,6.2,0.20017,-5.1973400000000005,0.6,0.140282,125.33434,3.9,0.6277400000000001
HUN,0.24337884,0.6992200000000003,0.6321600000000003,0.022050337599999997,5.14,0.16037599999999996,-6.60158,0.4,0.136602,128.48556000000002,3.86,0.4993999999999999
SGP,0.46282974,0.6137799999999999,0.5213399999999999,0.0062980198000000005,5.52,0.17713199999999998,-7.08628,0.62,0.07274,120.32544,3.94,0.4545699999999999
MEX,0.30539714,0.7351200000000001,0.67066,0.05237176100000001,5.62,0.17536599999999994,-5.7553199999999975,0.66,0.12337999999999999,118.98113999999998,3.94,0.64774
BGR,0.19625894000000005,0.7159200000000001,0.66022,0.013770476,5.92,0.168166,-6.309280000000002,0.36,0.13314,123.93843999999996,3.88,0.5097399999999999
ROU,0.24022600000000002,0.7194399999999999,0.6137399999999998,0.0016286464000000002,4.82,0.168586,-7.059760000000001,0.38,0.17689400000000005,124.1427,3.88,0.5408199999999999
ZAF,0.185548562,0.7415000000000002,0.60214,0.10723775320000001,5.48,0.14132999999999998,-7.78488,0.5,0.14416199999999996,120.03728000000002,3.96,0.5225000000000001
IND,0.38363718,0.6638200000000001,0.5562599999999998,0.0372130222,5.88,0.15432200000000001,-7.3785599999999985,0.56,0.096028,120.15626,3.9,0.48018
ITA,0.24132086,0.7235799999999999,0.6525600000000001,0.0096814404,5.5,0.15045000000000006,-6.412019999999999,0.56,0.13256600000000002,118.78862000000002,3.92,0.5648400000000001
DNK,0.28373901999999995,0.70886,0.5909199999999999,0.032269893599999995,5.02,0.161674,-7.917640000000001,0.62,0.14147400000000002,123.01160000000004,3.86,0.5315780000000001
PAN,0.2896346000000001,0.7227399999999999,0.680284,0.047083432599999996,6.08,0.181478,-5.5335199999999976,0.56,0.17388599999999996,125.36097999999998,3.92,0.6302600000000002
PHL,0.3932935399999999,0.60714,0.5267399999999999,0.015530200400000003,5.98,0.16464199999999998,-8.258299999999998,0.62,0.06326999999999999,123.07343999999999,3.98,0.44273
NZL,0.1950996,0.70108,0.64536,0.008784308000000001,6.48,0.195116,-6.23766,0.52,0.16500800000000002,128.91565999999997,3.88,0.55138
PER,0.26304374,0.7291200000000001,0.6912600000000002,0.0384860672,5.82,0.17511,-5.1897,0.62,0.12235999999999997,125.4026,3.96,0.6664599999999998
AND,0.22695504,0.6945600000000001,0.6937000000000001,0.026904832600000005,5.4,0.164218,-6.048660000000001,0.72,0.09500599999999998,125.85886,4.0,0.6024740000000001
THA,0.3580194000000001,0.58562,0.5793399999999999,0.0243224732,5.82,0.200226,-7.337679999999998,0.74,0.062220000000000004,120.23846,3.9,0.4815860000000001
AUT,0.246423418,0.7152600000000001,0.6342199999999998,0.035245330400000004,5.44,0.1675,-6.85792,0.44,0.14358800000000005,129.45406,3.9,0.5287740000000001
FIN,0.2446755522,0.6584399999999998,0.63776,0.0954776452,5.34,0.158992,-7.287420000000001,0.48,0.129114,129.13127999999998,3.82,0.5378920000000001
MLT,0.2359266,0.6815399999999998,0.6209600000000001,0.010072302800000002,5.46,0.14379,-6.07406,0.52,0.099668,123.70872,3.92,0.5074000000000001
GRC,0.26984899999999995,0.7023,0.6483199999999999,0.0061652825999999996,5.9,0.137992,-6.6095,0.28,0.13914,122.57723999999999,3.9,0.55274
SLV,0.2500104000000001,0.7199999999999998,0.6735400000000001,0.025566123399999998,5.6,0.181368,-5.041100000000001,0.64,0.14751,129.45326000000006,3.92,0.64074
GLO,0.25997574,0.7028600000000002,0.6072399999999998,0.0032077762000000004,5.92,0.187658,-6.7315999999999985,0.56,0.141876,120.53579999999998,3.84,0.580126
ISR,0.23988580000000004,0.6975600000000002,0.62062,0.0019075392,5.52,0.15248599999999998,-6.03834,0.46,0.13512599999999994,129.23214000000002,3.9,0.53994
CHL,0.33553513999999995,0.68408,0.63472,0.015163606999999999,4.94,0.15367999999999998,-6.81354,0.78,0.11945199999999995,121.64311999999998,3.64,0.67232
CAN,0.2449395400000001,0.7137399999999999,0.61088,0.0016445978,5.28,0.19141400000000008,-6.515360000000002,0.54,0.146548,124.80762000000004,3.86,0.5071800000000001
ISL,0.21152633199999998,0.6903800000000001,0.6542399999999999,0.06829477199999998,5.22,0.210128,-7.349279999999998,0.54,0.14955400000000002,127.62583999999998,3.86,0.4834799999999999
PRY,0.29168920000000004,0.7174199999999997,0.6780000000000002,0.0258704256,5.38,0.17953999999999998,-5.01406,0.66,0.152198,132.1816,3.9,0.6254800000000001
