CC,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
POL,0.28616679999999994,0.6289,0.6357799999999999,0.09985453339999996,4.9,0.148042,-7.383739999999999,0.56,0.14183400000000004,120.55218,3.88,0.383508
HND,0.16830660000000006,0.6978000000000002,0.7198599999999999,0.0616661302,5.08,0.180336,-5.635680000000001,0.56,0.10584600000000001,117.78175999999998,3.98,0.5541220000000002
SWE,0.191934538,0.6137400000000001,0.65398,0.05133000780000002,5.56,0.17049000000000006,-6.3869,0.58,0.095692,118.91339999999998,3.88,0.45819
NOR,0.18975272,0.6074120000000001,0.6665000000000001,0.05119654819999999,5.26,0.188354,-6.513939999999999,0.48,0.12716999999999998,118.21423999999998,3.86,0.4372780000000001
LUX,0.1353164,0.67132,0.6885999999999997,0.017024175000000003,4.92,0.17886799999999994,-5.455119999999999,0.48,0.121306,119.43809999999998,4.0,0.472706
CYP,0.1895206,0.6603200000000001,0.6708999999999999,0.0007105041999999997,5.52,0.17392999999999995,-5.9632000000000005,0.56,0.13554200000000005,112.99039999999997,3.92,0.428864
BRA,0.252299,0.6423800000000002,0.6581819999999999,0.0438181924,5.68,0.16042599999999999,-6.5874799999999984,0.54,0.133392,124.86884000000002,4.02,0.5252399999999999
FRA,0.22873060000000006,0.6669200000000002,0.6672619999999999,0.11738184740000003,5.2,0.16774800000000006,-7.066959999999999,0.38,0.15657600000000002,120.59032000000003,4.0,0.4467520000000003
ECU,0.16435799999999998,0.6971200000000001,0.73126,0.0341557036,5.06,0.187674,-4.996220000000001,0.58,0.11326800000000002,116.61353999999999,3.94,0.5843799999999999
GTM,0.16830920000000002,0.6942200000000003,0.7194200000000001,0.0372476272,4.92,0.192208,-5.337539999999999,0.58,0.12779200000000002,113.90384000000002,3.98,0.527242
BEL,0.22611913800000005,0.6597399999999998,0.6665000000000001,0.055897272000000005,5.8,0.169856,-7.021199999999999,0.52,0.10599800000000002,118.79108,3.96,0.5119819999999999
TUR,0.1992625222,0.6483399999999999,0.6590199999999999,0.09164716699999999,5.3,0.189392,-7.5013999999999985,0.38,0.13766200000000006,117.94948,3.96,0.4238680000000001
NLD,0.14815513800000002,0.6932199999999998,0.75122,0.0516281716,4.66,0.16718200000000005,-5.373739999999999,0.56,0.15670400000000004,124.59228000000002,3.94,0.5534800000000001
