CC,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
POL,0.31909454,0.6129000000000001,0.6097199999999998,0.0245680544,4.54,0.23074800000000004,-7.840919999999999,0.66,0.108072,116.13712000000004,3.94,0.445926
HND,0.2065554,0.7115999999999998,0.68316,0.0036936928,4.92,0.16910600000000006,-6.0109,0.6,0.10509199999999998,123.43732,3.98,0.5397000000000002
SWE,0.29969761999999994,0.5782399999999999,0.6402800000000001,0.0033279180000000005,6.06,0.232368,-6.904819999999997,0.68,0.08793199999999997,114.60916000000002,3.92,0.4568419999999999
NOR,0.20681821359999994,0.5616400000000001,0.6690600000000002,0.08551192720000003,4.56,0.20847,-7.2650200000000025,0.6,0.08256799999999999,122.66268000000004,3.88,0.4060419999999999
LUX,0.27788822,0.68076,0.6288419999999999,0.029595613000000007,6.02,0.15327200000000002,-7.127260000000002,0.64,0.088288,111.04494000000004,3.94,0.47444
CYP,0.19364604000000007,0.6338200000000002,0.6399199999999997,0.019312918000000002,5.54,0.14191199999999998,-6.569320000000002,0.54,0.09377,121.93272000000003,3.92,0.4835139999999998
BRA,0.24132524400000005,0.6936200000000001,0.65372,0.0207974948,5.72,0.21057000000000006,-6.33784,0.5,0.11103199999999998,122.11658,4.0,0.5006420000000001
FRA,0.25041318,0.63952,0.6536000000000002,0.0367520498,5.48,0.17625200000000002,-7.105519999999998,0.36,0.14357999999999999,116.34383999999999,3.96,0.4099799999999999
ECU,0.17050940000000006,0.7269,0.7269000000000001,0.0001044812,4.7,0.16791,-5.210639999999999,0.6,0.08399399999999999,116.8133,4.0,0.6024600000000001
GTM,0.2030808,0.6922999999999998,0.7060200000000001,0.00011007379999999999,4.44,0.17329600000000006,-5.702320000000001,0.56,0.11333800000000002,123.15897999999996,4.0,0.5441
BEL,0.24008840000000006,0.6520199999999998,0.65904,0.024569627400000002,5.2,0.1873100000000001,-6.37492,0.48,0.14170000000000005,122.31252,3.94,0.402188
TUR,0.3402247200000001,0.5966,0.5879400000000001,0.06713342559999999,5.26,0.18326600000000007,-7.953220000000001,0.3,0.082248,114.29806,3.9,0.451248
NLD,0.251523076,0.6456799999999998,0.64774,0.06958535360000001,6.08,0.198808,-7.276859999999999,0.58,0.15327000000000005,119.38306000000004,3.98,0.4208020000000001
HKG,0.2763958,0.6434999999999998,0.6531999999999998,0.00015500040000000006,5.28,0.23155,-6.1259799999999975,0.58,0.08443200000000001,117.83014,4.0,0.44014
MYS,0.34558,0.5993999999999999,0.5858000000000001,0.0070127031999999995,6.0,0.2318120000000001,-6.783500000000003,0.56,0.08515600000000001,111.35108000000001,3.9,0.376054
IDN,0.3645052,0.63564,0.6020000000000001,0.013409924399999995,5.12,0.16801999999999995,-6.63068,0.68,0.07739600000000002,114.95231999999996,3.98,0.46106
EST,0.19194128,0.6664999999999999,0.65876,0.045821265599999994,5.18,0.219494,-6.5187,0.6,0.09807799999999997,123.21163999999999,3.96,0.402524
ESP,0.3047488439999999,0.6002399999999999,0.6476440000000001,0.0105521064,5.04,0.217876,-6.551679999999998,0.54,0.08475999999999999,116.29794,3.96,0.4835799999999998
CZE,0.2043578,0.637,0.6713600000000001,0.0021448798000000004,5.28,0.19513199999999994,-6.593340000000004,0.58,0.152158,115.86894,3.96,0.42042
CRI,0.20820619999999998,0.6982600000000002,0.6756200000000001,0.0029297471999999995,4.12,0.17708199999999993,-5.762360000000001,0.64,0.12054599999999994,121.08839999999996,3.96,0.5614399999999999
AUS,0.19578457600000007,0.6269199999999999,0.69104,0.04300477599999999,5.24,0.20084600000000008,-6.546359999999997,0.58,0.11120400000000004,123.54337999999996,4.04,0.4167
LVA,0.2537572,0.6667799999999999,0.628568,0.0391017274,5.22,0.201198,-6.797999999999999,0.52,0.091,118.69161999999996,3.94,0.425246
GBR,0.26551258,0.6096599999999999,0.64388,0.0568888338,4.88,0.2332440000000001,-7.730899999999999,0.68,0.14418199999999998,119.80702,3.94,0.4768080000000001
DEU,0.216618758,0.6499000000000001,0.6682199999999999,0.06124221000000001,5.52,0.19092400000000004,-7.011660000000001,0.54,0.14916600000000005,120.13778000000002,3.96,0.4015499999999999
URY,0.20794,0.7294799999999999,0.73422,0.001612823,4.92,0.13303799999999996,-5.170840000000001,0.56,0.090402,122.09968,4.0,0.6098600000000001
SVK,0.2430842,0.63078,0.6795399999999997,0.0036018375999999994,5.16,0.2385700000000001,-6.3806,0.44,0.13083799999999995,119.45957999999996,3.94,0.4412879999999999
ARG,0.191024,0.6472199999999999,0.7067399999999999,0.0151543834,4.82,0.20895999999999998,-5.52022,0.56,0.095958,122.79570000000004,3.96,0.4884200000000001
TWN,0.3730424000000001,0.6098600000000001,0.5914400000000003,0.008922337800000001,5.7,0.21690400000000007,-6.901539999999999,0.64,0.07309200000000002,117.411,3.98,0.40267200000000014
USA,0.25060679999999996,0.6081199999999999,0.63862,0.0009602453999999999,4.98,0.25146,-6.9724400000000015,0.64,0.15863400000000005,119.85936000000001,3.86,0.415102
PRT,0.2724492799999999,0.59728,0.6446400000000001,0.0192841252,5.1,0.194962,-6.785720000000002,0.48,0.12005200000000002,121.53811999999996,3.94,0.3579880000000001
IRL,0.245427936,0.6193799999999999,0.6639799999999998,0.041330411,5.36,0.23400799999999994,-6.940679999999999,0.62,0.12603600000000004,120.14253999999997,3.98,0.465368
DOM,0.26937339999999993,0.7233799999999999,0.6487600000000002,0.00034627399999999993,4.98,0.17641199999999999,-6.534480000000001,0.42,0.122708,118.2612,3.98,0.5389800000000001
CHE,0.222418958,0.6644199999999999,0.6137999999999999,0.04439791059999999,5.74,0.15450999999999995,-7.103740000000001,0.54,0.13822200000000004,118.26922,3.94,0.3889799999999999
LTU,0.2801712,0.6571199999999999,0.61214,0.070149207,5.5,0.205906,-7.075419999999998,0.64,0.08762799999999997,120.58029999999997,3.92,0.421126
JPN,0.2464995,0.59392,0.6825399999999999,0.053717337800000015,5.68,0.241632,-6.166580000000001,0.5,0.07307200000000001,121.42032,3.88,0.5242119999999997
BOL,0.1895722,0.7417200000000002,0.7321400000000001,0.00019183360000000005,5.34,0.17055999999999996,-5.0963600000000016,0.6,0.08873199999999999,117.24906,3.98,0.5987800000000001
NIC,0.2349936,0.7209,0.7009599999999999,0.013483580199999998,5.36,0.16114599999999998,-5.5605199999999995,0.66,0.09149599999999998,121.90418000000001,3.98,0.5866599999999998
COL,0.25450608,0.6849799999999998,0.6678800000000001,0.0034658636,5.04,0.18056400000000006,-6.431979999999998,0.6,0.101302,118.63707999999998,3.92,0.5073800000000002
HUN,0.2732740000000001,0.6275199999999999,0.6808200000000002,0.0091680092,4.98,0.225644,-6.050720000000001,0.56,0.10152599999999998,118.39207999999996,3.94,0.41818799999999984
SGP,0.3656397999999999,0.6041800000000002,0.6136,0.007875663199999999,5.46,0.20794,-6.302839999999998,0.56,0.09398400000000004,117.39128000000001,3.94,0.4007139999999999
MEX,0.2746834,0.64752,0.6473800000000001,0.041222787000000004,4.86,0.210202,-6.91352,0.62,0.09398799999999996,116.43173999999999,3.96,0.5296000000000002
BGR,0.16348184,0.67292,0.6693000000000001,0.0018577984,5.46,0.18702400000000008,-6.238319999999999,0.46,0.12409,126.16801999999998,3.98,0.4692340000000001
ITA,0.26945598,0.5443199999999998,0.6369,0.016607756799999998,6.2,0.24437199999999998,-7.1551800000000005,0.64,0.09547999999999998,118.84766000000002,3.82,0.421606
DNK,0.26361467380000003,0.5986,0.6530400000000001,0.0225880504,5.72,0.2088180000000001,-6.21332,0.62,0.11384400000000006,123.14433999999999,3.96,0.40612800000000004
PAN,0.1914008,0.7122799999999999,0.7129000000000001,0.00016343380000000002,3.74,0.180866,-5.520199999999999,0.68,0.09918400000000004,120.97929999999998,4.0,0.529
PHL,0.3301872,0.62138,0.6301599999999998,0.00012206400000000003,5.36,0.204644,-6.2397800000000005,0.66,0.09510599999999997,116.91836,3.92,0.43799799999999994
NZL,0.19099915599999995,0.6479400000000001,0.6621400000000002,0.011713241,4.82,0.179782,-6.314359999999999,0.64,0.11871999999999998,121.40228,3.96,0.4597000000000001
PER,0.2184794,0.7021999999999999,0.7295600000000002,0.00020005619999999998,4.42,0.1854,-5.442080000000001,0.68,0.07557000000000001,118.82776000000001,3.98,0.5848300000000001
THA,0.267991,0.62174,0.65172,0.0040188432,5.42,0.17886400000000002,-6.520819999999998,0.66,0.08303199999999998,112.86044000000004,3.96,0.4657
AUT,0.2445193580000001,0.6376799999999999,0.6377819999999998,0.019512390400000003,5.66,0.21238,-7.137379999999999,0.56,0.14676,122.65288000000002,3.92,0.4219439999999999
FIN,0.147948474,0.60614,0.7001000000000001,0.023741020800000002,4.92,0.15752799999999995,-6.185219999999999,0.52,0.08707999999999999,117.57642,3.92,0.4094579999999999
MLT,0.19420740000000009,0.64928,0.6606200000000001,0.010431054,4.38,0.19971999999999995,-6.442140000000002,0.7,0.113704,122.28865999999996,3.96,0.427098
GRC,0.21337580000000006,0.6286200000000001,0.6651000000000002,0.0104186818,5.02,0.20326600000000009,-6.48264,0.58,0.09381400000000002,124.73229999999997,3.94,0.4531739999999999
SLV,0.1917414,0.7219000000000002,0.7114800000000001,0.000143294,4.62,0.18251200000000006,-5.32882,0.62,0.08645199999999999,124.79494,4.0,0.6223799999999998
GLO,0.2251622000000001,0.6408599999999999,0.6561599999999999,0.0017014714000000005,5.02,0.23892600000000006,-6.464180000000001,0.56,0.13508199999999998,124.61702,3.9,0.4430999999999999
CHL,0.2294394,0.6736200000000001,0.7037200000000001,0.005057061399999999,4.34,0.188714,-5.8761800000000015,0.66,0.10938200000000002,119.02446,3.92,0.55294
CAN,0.24320340000000001,0.6179199999999999,0.6158399999999999,0.008278964599999999,5.12,0.2278280000000001,-7.2662200000000015,0.54,0.11965000000000002,122.06860000000006,4.0,0.3883320000000001
ISL,0.3574235999999999,0.6380399999999998,0.57416,0.0095007442,5.26,0.22728400000000004,-8.45322,0.76,0.07544,119.93754000000004,3.94,0.5019239999999998
PRY,0.20218020000000006,0.7293600000000001,0.7110400000000001,0.0002173216,5.14,0.18162999999999999,-5.0751800000000005,0.6,0.096772,122.14124,3.98,0.5727599999999999
