,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.5893999999999999,0.542772,5.42,-7.318940000000001,0.68,0.095118,0.4340905999999999,0.018100201800000004,0.18962400000000001,0.420064,117.11443999999997,3.92
std,0.1335918242640772,0.20586443730508383,3.5861980322523475,3.0133855894346224,0.47121207149916117,0.13974925167190394,0.33248882591265455,0.11460992655629425,0.1553762471800471,0.22810468574131232,33.72847328367157,0.2740475156178698
min,0.284,0.0556,0.0,-19.916,0.0,0.0247,0.00583,0.0,0.0424,0.0872,63.763999999999996,3.0
max,0.89,0.897,11.0,-1.084,1.0,0.8690000000000001,0.9390000000000001,0.807,0.9690000000000001,0.9690000000000001,191.702,4.0
