,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7514399999999997,0.6545599999999999,5.44,-5.9690199999999995,0.56,0.17228400000000005,0.30544259999999995,0.027799014,0.153182,0.5965500000000002,117.58516,4.02
std,0.10222048199248285,0.15680732490179514,3.850046381909851,3.1677432544514157,0.5014265364224069,0.12518122269048867,0.22638948991983543,0.10573754049501331,0.12769076116036854,0.20949166487729587,35.184243289453136,0.14142135623730942
min,0.46299999999999997,0.235,0.0,-16.541,0.0,0.0405,0.00903,0.0,0.0501,0.0895,74.93,4.0
max,0.882,0.972,11.0,-1.8,1.0,0.556,0.9329999999999999,0.55,0.795,0.9259999999999999,191.99400000000003,5.0
