,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6978400000000002,0.69844,6.18,-5.399060000000002,0.58,0.11741800000000001,0.25322698000000005,0.051354398200000005,0.20942199999999997,0.5860799999999999,123.29078,3.96
std,0.14311310782962217,0.17167424776867027,3.6460210350127036,2.7060500953928237,0.49856938190328975,0.08293995538942617,0.19469862626104575,0.20001462792830038,0.20759727131429942,0.18458865908073682,33.98829023162213,0.4499433070863891
min,0.191,0.29100000000000004,0.0,-15.534,0.0,0.03,0.000248,0.0,0.0419,0.13699999999999998,63.623999999999995,1.0
max,0.9470000000000001,0.9840000000000001,11.0,-1.624,1.0,0.35100000000000003,0.8690000000000001,0.9420000000000001,0.866,0.91,192.06799999999998,5.0
