,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6640400000000001,0.6729400000000001,5.4,-6.512459999999997,0.62,0.09065800000000003,0.25564889999999996,0.0406206914,0.18893399999999996,0.5496439999999999,119.46436000000007,4.0
std,0.11797646946293477,0.19860774693565492,3.7087871387849054,2.9888804962420843,0.4903143514780145,0.08188846094984749,0.2523007942048902,0.15229522825168498,0.15304685505039403,0.23918578310764274,33.672329847783914,0.0
min,0.301,0.21100000000000002,0.0,-14.342,0.0,0.0278,0.00082,0.0,0.0404,0.0412,82.06200000000001,4.0
max,0.888,0.981,11.0,-1.715,1.0,0.425,0.8909999999999999,0.8,0.821,0.953,199.864,4.0
