,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7016999999999999,0.6540199999999998,5.2,-5.897339999999998,0.68,0.11288599999999999,0.26209020000000005,0.002771384799999999,0.170782,0.5386759999999998,115.67505999999999,4.02
std,0.1276244890453303,0.1594629366444294,3.9692697112713726,2.10489210165078,0.4712120714991613,0.1007565402951337,0.24860039171566822,0.013220373494620886,0.15626649880566085,0.24403740476092792,27.730437424083675,0.2466096643090295
min,0.282,0.17300000000000001,0.0,-13.239,0.0,0.0275,0.0047,0.0,0.0344,0.0605,62.446000000000005,3.0
max,0.9009999999999999,0.9009999999999999,11.0,-2.7880000000000003,1.0,0.41600000000000004,0.8390000000000001,0.0914,0.79,0.934,192.09099999999998,5.0
