,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6743799999999999,0.53872,5.8,-8.537500000000001,0.7,0.13846600000000006,0.29446900000000004,0.0184034446,0.17834000000000005,0.504334,117.77570000000001,3.9
std,0.18771546966358527,0.18133811468286165,3.551372255616015,3.1031896378680157,0.46291004988627565,0.1210438942310278,0.292934823504186,0.08106636331448445,0.14885113368731862,0.22215616460829848,29.041219486011496,0.46291004988627554
min,0.228,0.11900000000000001,0.0,-16.616,0.0,0.0256,0.00147,0.0,0.0608,0.0617,74.1,1.0
max,0.973,0.8959999999999999,11.0,-3.242,1.0,0.449,0.9259999999999999,0.45899999999999996,0.79,0.898,200.125,4.0
