,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6034199999999998,0.6473000000000002,5.5,-6.9331799999999975,0.68,0.072872,0.22340307599999998,0.0366733672,0.205292,0.5063400000000001,113.45583999999997,3.84
std,0.14149985072466345,0.21472443184848125,3.660322278662559,3.7296865037048845,0.4712120714991613,0.07337631837288638,0.2793756111014291,0.15205077769807643,0.1962961193332821,0.2324920547248961,29.176124657937525,0.5095015571464864
min,0.313,0.139,0.0,-21.239,0.0,0.0232,9.58e-05,0.0,0.0497,0.10400000000000001,73.398,1.0
max,0.889,0.9570000000000001,11.0,-1.68,1.0,0.361,0.977,0.903,0.961,0.968,198.632,4.0
