,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7138599999999997,0.7392200000000001,4.58,-5.37068,0.6,0.08983999999999996,0.21820480000000006,0.016938088200000007,0.2063920000000001,0.6722640000000003,115.16154000000002,3.98
std,0.13010749245080674,0.1518079197202699,3.5747984101861445,2.4774098178771884,0.49487165930539356,0.07041733610759353,0.20220451789740615,0.11577632527448772,0.18780591570957023,0.184937251090245,31.955431664518535,0.24660966430902945
min,0.306,0.217,0.0,-15.372,0.0,0.0312,0.0026100000000000003,0.0,0.0475,0.0872,79.433,3.0
max,0.9359999999999999,0.9670000000000001,11.0,-2.7260000000000004,1.0,0.34700000000000003,0.8859999999999999,0.8190000000000001,0.955,0.953,203.81099999999998,5.0
