,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7087799999999999,0.6647799999999999,5.52,-5.54352,0.68,0.13116000000000003,0.3034226,0.0097934958,0.14537000000000003,0.589332,122.74578,4.0
std,0.14505653929360346,0.15265584743173788,3.934359372689458,2.1582094831274428,0.47121207149916117,0.1049666963705097,0.2330996669274186,0.0657272727140288,0.10121202689283078,0.23238244554165097,35.710459598646025,0.20203050891044214
min,0.341,0.19399999999999998,0.0,-12.414000000000001,0.0,0.0309,0.00903,0.0,0.0501,0.0826,76.995,3.0
max,0.882,0.972,11.0,-1.8,1.0,0.425,0.861,0.465,0.605,0.9109999999999999,189.905,5.0
