,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7305199999999998,0.672546,4.52,-5.70376,0.72,0.09883399999999998,0.2381354,0.0037488904,0.138088,0.6421199999999999,119.97082,3.98
std,0.1184088799758821,0.18325356494569522,3.535476182458976,2.7280963876681783,0.4535573676110727,0.08237381100067853,0.20555676251873511,0.022346577018057583,0.08421593392304459,0.2403874118066544,32.59633326924352,0.1414213562373095
min,0.433,0.0413,0.0,-19.447,0.0,0.0232,0.00257,0.0,0.0506,0.11900000000000001,73.233,3.0
max,0.9359999999999999,0.97,11.0,-2.0380000000000003,1.0,0.473,0.973,0.158,0.377,0.9620000000000001,183.817,4.0
