,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6766800000000001,0.57126,6.9,-8.05976,0.5,0.10283599999999998,0.29629849999999996,0.03582218179999999,0.16073400000000004,0.4736619999999999,119.13104000000001,3.98
std,0.15867428324484506,0.16685932116973415,3.465574134488058,2.561138996937233,0.5050762722761054,0.09663876933599429,0.2801498020740559,0.14652282395765145,0.11789816188350946,0.22122263685514382,22.55613647258315,0.24660966430902945
min,0.261,0.2,1.0,-18.963,0.0,0.0245,0.00045599999999999997,0.0,0.0525,0.0605,76.469,3.0
max,0.915,0.872,11.0,-3.909,1.0,0.36700000000000005,0.92,0.81,0.6920000000000001,0.884,175.15599999999998,5.0
