,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6750599999999999,0.6569400000000001,5.7,-6.441239999999999,0.56,0.09673399999999999,0.17584149000000004,0.0772967866,0.163626,0.4378799999999999,121.31345999999999,3.96
std,0.1590402862581089,0.15082486261778416,3.693623849670828,1.8728832902173886,0.5014265364224069,0.06444175224691724,0.22218791908019808,0.23234927851353418,0.10300068715839736,0.20322636720300497,23.72552196299872,0.19794866372215747
min,0.258,0.37799999999999995,0.0,-12.468,0.0,0.0325,7.950000000000001e-05,0.0,0.0683,0.0763,68.85,3.0
max,0.95,0.9470000000000001,11.0,-2.7089999999999996,1.0,0.28600000000000003,0.847,0.889,0.434,0.865,180.043,4.0
