,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6407399999999999,0.7231799999999999,5.24,-6.4815200000000015,0.5,0.09788000000000001,0.1281433356,0.0533303292,0.16157800000000003,0.56802,124.97430000000003,3.96
std,0.13086600250731623,0.1514859311848423,4.018122213478453,2.5052715624523922,0.5050762722761054,0.08143164405230453,0.17355860357439098,0.16805514687917147,0.0993836090661856,0.23590836079689412,26.075254303453992,0.19794866372215747
min,0.264,0.377,0.0,-13.162,0.0,0.0255,9.78e-06,0.0,0.0369,0.136,85.508,3.0
max,0.91,0.9640000000000001,11.0,-3.011,1.0,0.354,0.8240000000000001,0.8959999999999999,0.51,0.971,203.68099999999998,4.0
