,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6128800000000001,0.6950200000000002,6.06,-7.030120000000002,0.46,0.08759399999999998,0.15655460639999993,0.04024317819999999,0.215062,0.4488040000000001,119.06164000000001,3.94
std,0.16311328728768823,0.17213846941651717,3.389118240631269,1.995689136154042,0.5034574339058886,0.06815595384775976,0.20124342155193944,0.10583111706161705,0.14415505100624207,0.21376732913165572,29.95203658351812,0.23989793748209526
min,0.265,0.312,0.0,-11.689,0.0,0.027000000000000003,3.62e-06,0.0,0.0515,0.0684,54.747,3.0
max,0.909,0.98,11.0,-3.674,1.0,0.302,0.863,0.619,0.643,0.971,199.75599999999997,4.0
