,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6179400000000003,0.70816,4.82,-5.917960000000001,0.64,0.06952999999999998,0.17178106199999998,0.0039920108,0.20586000000000002,0.5039200000000001,119.38413999999999,4.02
std,0.16982565009023645,0.17053545445006385,3.690528417449187,2.3055837187319033,0.4848732213850611,0.037381018046651455,0.23590232275360776,0.016978131701875555,0.1658801731272749,0.2212976423973202,24.8566765801998,0.24660966430902953
min,0.14300000000000002,0.213,0.0,-13.932,0.0,0.0274,4.11e-05,0.0,0.0353,0.13,75.016,3.0
max,0.892,0.971,11.0,-1.5030000000000001,1.0,0.17,0.96,0.111,0.757,0.92,179.864,5.0
