,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7186800000000001,0.6842400000000004,5.9,-5.723680000000001,0.48,0.13756599999999997,0.19912020000000005,0.0518575936,0.135602,0.5982020000000001,130.4547,4.0
std,0.13288009632747863,0.146479163385522,3.5065536310381655,2.555005271291339,0.5046720495044485,0.12410708281190734,0.1859909093289788,0.19518917128640498,0.11930940481601199,0.24457735180577642,35.56685036702874,0.0
min,0.298,0.377,0.0,-15.07,0.0,0.0271,0.00107,0.0,0.03,0.0781,86.00299999999999,4.0
max,0.889,0.975,11.0,-1.9480000000000002,1.0,0.5720000000000001,0.795,0.9420000000000001,0.6990000000000001,0.966,203.953,4.0
