,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6753199999999997,0.6247199999999999,5.24,-7.345139999999998,0.58,0.13896,0.18348276,0.052883675399999996,0.188876,0.45130200000000004,122.24721999999998,3.98
std,0.12916710265451983,0.17096007888226003,3.825585189329382,2.5675120969053093,0.49856938190328975,0.1271848502080691,0.17413351455679177,0.1906909957110226,0.14225346674158773,0.2220625343897341,31.502974096262655,0.2466096643090295
min,0.34600000000000003,0.317,0.0,-13.295,0.0,0.0272,0.00010800000000000001,0.0,0.057,0.0604,68.817,3.0
max,0.909,0.888,11.0,-2.867,1.0,0.7170000000000001,0.584,0.927,0.698,0.872,181.995,5.0
