date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2020-01-23,0.73784,0.62816,5.36,-6.609299999999999,0.54,0.11575,0.22814908,0.0671816774,0.19079399999999994,0.47804400000000014,118.68787999999999,4.0
2020-01-16,0.7159799999999998,0.5958199999999999,6.02,-7.04258,0.48,0.1097,0.24934727999999995,0.024666703,0.187638,0.47639999999999993,121.72334000000001,4.0
2020-01-09,0.72972,0.6056,5.24,-6.656760000000002,0.54,0.12442800000000002,0.21878712,0.0154193294,0.18758,0.48722399999999993,119.19174000000002,3.92
2020-01-02,0.7046799999999999,0.5971,5.6,-6.767020000000001,0.52,0.12271000000000004,0.24929842000000005,0.029840956800000002,0.20110599999999995,0.4955999999999999,116.13345999999997,4.0
2019-12-26,0.7208599999999997,0.6048799999999999,5.62,-7.22538,0.6,0.13064800000000001,0.26550102000000003,0.031536454199999994,0.18472800000000003,0.46457,129.45683999999997,3.96
2019-12-19,0.7254599999999999,0.6347800000000001,6.02,-7.111020000000002,0.44,0.12081399999999996,0.2518826200000001,0.0429779446,0.191796,0.47639000000000004,121.81888000000001,4.04
2019-12-12,0.69516,0.6228000000000001,5.12,-6.816599999999999,0.48,0.112292,0.27026722,0.02283884300000001,0.17381799999999997,0.4699800000000001,119.97272000000002,4.0
2019-12-05,0.7023600000000002,0.64236,6.28,-6.83004,0.56,0.11466400000000004,0.24669039999999995,0.016960602800000002,0.16960600000000003,0.478792,120.95054000000002,3.94
2019-11-28,0.6729999999999999,0.649,6.12,-6.862279999999999,0.46,0.11833199999999999,0.220957444,0.025226649600000005,0.18706199999999995,0.45537200000000005,124.66650000000001,3.98
2019-11-21,0.6944400000000001,0.64812,6.26,-6.534019999999999,0.42,0.10853800000000004,0.2443811,0.0035579955999999998,0.18059199999999995,0.503802,124.97478000000008,3.96
2019-11-14,0.6890799999999999,0.62424,5.86,-6.783059999999999,0.34,0.111422,0.26584696,0.024722096000000002,0.19066999999999998,0.4841700000000001,122.53392000000004,3.98
2019-11-07,0.69042,0.617842,6.02,-6.755739999999999,0.36,0.12162199999999998,0.2737106000000001,0.0324313692,0.1905439999999999,0.48349600000000004,120.47076000000001,3.92
2019-10-31,0.6846799999999998,0.6056600000000002,6.08,-7.046739999999997,0.38,0.10781199999999996,0.27513176,0.035750923000000004,0.16052000000000002,0.445016,117.60391999999996,3.96
2019-10-24,0.7150399999999998,0.6756600000000001,6.34,-5.749219999999999,0.4,0.12167800000000004,0.24321956000000003,0.029429299799999996,0.158002,0.531226,128.27884,3.94
2019-10-17,0.7037399999999998,0.6643000000000001,6.12,-6.37912,0.44,0.12161800000000003,0.3067684,0.05095921080000003,0.19746600000000003,0.5305459999999997,123.53321999999999,3.96
2019-10-10,0.7183599999999999,0.6469800000000001,5.68,-6.62548,0.42,0.143752,0.24333400000000005,0.0285671118,0.17372200000000007,0.49874599999999986,121.06047999999998,3.96
2019-10-03,0.6915600000000002,0.65382,5.28,-6.273840000000002,0.4,0.109404,0.2281224,0.031783978000000004,0.17074999999999999,0.5049619999999999,127.37729999999999,3.92
2019-09-26,0.72776,0.6286799999999999,5.16,-6.6536599999999995,0.48,0.139096,0.26102242,0.06019948780000001,0.18099,0.5099480000000001,130.43198,4.06
2019-09-19,0.7296999999999997,0.6292999999999999,6.0,-6.8599,0.4,0.147402,0.250672,0.03655848100000001,0.164748,0.5002080000000002,127.79755999999999,3.98
2019-09-12,0.7127599999999998,0.6407200000000002,5.6,-7.0005799999999985,0.5,0.144802,0.25032048,0.0339844794,0.17124399999999998,0.511068,128.80375999999998,4.06
2019-09-05,0.7029999999999998,0.62692,5.6,-7.598720000000001,0.5,0.137058,0.25384238,0.07037532280000001,0.166926,0.50432,121.65676000000003,3.92
2019-08-29,0.7222799999999997,0.62904,5.28,-6.896159999999998,0.5,0.146912,0.19504617999999996,0.02867230880000001,0.17597,0.5093399999999999,120.40603999999999,3.94
2019-08-22,0.6884999999999999,0.61664,5.16,-7.011039999999997,0.4,0.135238,0.25602674000000003,0.04909618739999999,0.16231399999999996,0.45039999999999997,121.38951999999998,3.98
2019-08-15,0.7459399999999999,0.6510199999999999,5.74,-6.4583,0.46,0.13087599999999996,0.2183946,0.0163986052,0.15557999999999994,0.5114980000000001,124.92733999999999,4.02
2019-08-08,0.7316599999999996,0.63396,5.8,-7.0323199999999995,0.46,0.14631199999999997,0.24922860000000002,0.0482660866,0.177958,0.5212199999999999,126.30691999999995,3.98
2019-08-01,0.7495399999999998,0.6272199999999999,5.32,-7.02102,0.48,0.12081,0.22477704000000004,0.05592462079999999,0.16128,0.4758799999999999,116.69612000000001,3.98
2019-07-25,0.7039200000000001,0.6330999999999998,5.94,-7.13346,0.4,0.11833999999999997,0.2060614102,0.054592525799999986,0.159834,0.472868,118.26885999999999,3.98
2019-07-18,0.7174199999999997,0.6672999999999999,5.28,-6.439839999999999,0.56,0.11982800000000006,0.16829187220000003,0.06868322000000002,0.16442,0.5197,116.93827999999999,3.98
2019-07-11,0.72728,0.6545000000000001,5.64,-6.554199999999998,0.5,0.11978000000000001,0.20789266,0.03827635580000001,0.16236200000000003,0.48036000000000006,119.31608,4.0
2019-07-04,0.7149999999999999,0.65026,5.0,-6.519599999999998,0.5,0.12908200000000003,0.17021714,0.02362769820000001,0.167628,0.477858,124.45699999999995,4.0
2019-06-27,0.7227800000000001,0.6739800000000002,5.52,-6.828539999999997,0.6,0.12714000000000006,0.19392436,0.051358952600000014,0.19966000000000006,0.5107800000000001,123.41867999999995,4.0
