,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6915600000000002,0.65382,5.28,-6.273840000000002,0.4,0.109404,0.2281224,0.031783978000000004,0.17074999999999999,0.5049619999999999,127.37729999999999,3.92
std,0.1399151579657166,0.14228437893808274,3.1818362045606703,2.6453425869722396,0.49487165930539356,0.08996355715692067,0.2183903052490552,0.13093029117238505,0.11814690829122662,0.21001467090638778,27.6267165400761,0.6337449432233947
min,0.326,0.33899999999999997,0.0,-14.908,0.0,0.0278,0.0016300000000000002,0.0,0.0499,0.0851,69.882,1.0
max,0.932,0.965,11.0,-0.953,1.0,0.439,0.7609999999999999,0.81,0.631,0.884,179.938,5.0
