,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.5969599999999999,0.57414,5.24,-7.777159999999997,0.46,0.080098,0.38974600000000004,0.047117230799999986,0.17081799999999994,0.539932,127.62827999999999,3.98
std,0.16024788960372915,0.16755675371134915,3.777268206262406,2.9840964130619136,0.5034574339058886,0.09334957230207107,0.2787732486580212,0.17993876539926543,0.11273203135700852,0.2671298938336776,27.018370161904926,0.14142135623730936
min,0.20800000000000002,0.19,0.0,-16.541,0.0,0.0235,0.0121,0.0,0.047,0.0681,62.068000000000005,3.0
max,0.878,0.862,11.0,-3.39,1.0,0.426,0.938,0.9470000000000001,0.627,0.9690000000000001,175.895,4.0
