,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6337599999999999,0.62052,4.94,-6.26362,0.66,0.082252,0.3370099999999999,0.002084267,0.17717,0.4631199999999998,121.86525999999999,3.92
std,0.16105640538111396,0.17950433341366923,3.530681844306321,1.9632493878199757,0.47851812069840666,0.08773682641972003,0.31150021103933623,0.008881734827718693,0.1084877802768024,0.22791312702296845,28.06532428053944,0.48822878544671555
min,0.272,0.221,0.0,-10.413,0.0,0.0253,0.00267,0.0,0.0586,0.102,54.924,1.0
max,0.9179999999999999,0.937,11.0,-2.001,1.0,0.46299999999999997,0.934,0.0501,0.462,0.966,199.669,5.0
