,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7169199999999998,0.6862600000000002,4.28,-6.016340000000001,0.58,0.09411600000000003,0.21989999999999998,0.0155027654,0.15670599999999998,0.6318800000000001,119.93673999999999,3.9
std,0.12239611838583105,0.16759582211927818,3.097332624655462,2.5677184235131736,0.4985693819032897,0.0598625649095578,0.2103120292055864,0.07048520316644559,0.12303384205085982,0.24076626314620522,31.638904496637473,0.303045763365663
min,0.447,0.299,0.0,-12.092,0.0,0.0263,0.00257,0.0,0.05,0.10300000000000001,79.997,3.0
max,0.9359999999999999,0.97,11.0,-2.573,1.0,0.239,0.8740000000000001,0.442,0.6970000000000001,0.956,183.817,4.0
