,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.71468,0.7267600000000001,5.52,-5.319800000000002,0.46,0.10866600000000001,0.17422212219999994,0.0097999674,0.191996,0.559282,116.23489999999998,3.94
std,0.13657881629749358,0.11892195348382131,3.30268907135395,1.5627389352005783,0.5034574339058886,0.07740735505316361,0.1556685186243149,0.06814495773434978,0.15123652776565666,0.23586499743778544,28.066236235348114,0.23989793748209529
min,0.337,0.41,0.0,-9.124,0.0,0.0293,6.11e-06,0.0,0.043,0.0778,80.015,3.0
max,0.934,0.9440000000000001,11.0,-3.003,1.0,0.46299999999999997,0.71,0.48200000000000004,0.6809999999999999,0.9420000000000001,184.801,4.0
