,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7102999999999998,0.67856,5.22,-5.5882000000000005,0.68,0.13164399999999998,0.15395266000000002,0.0091412382,0.18060599999999996,0.5535999999999999,125.83025999999998,3.94
std,0.13801364173922248,0.1483003240807281,3.632562484539204,2.4582135707020405,0.4712120714991612,0.08954157889506086,0.14328794659386437,0.059501775448871586,0.14048872481448466,0.19847993781308407,33.259770104136315,0.23989793748209526
min,0.27699999999999997,0.259,0.0,-16.509,0.0,0.0304,0.000813,0.0,0.0215,0.1,77.176,3.0
max,0.9129999999999999,0.9690000000000001,11.0,-1.915,1.0,0.39,0.425,0.42100000000000004,0.6970000000000001,0.9259999999999999,212.11700000000002,4.0
