,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.7181800000000002,0.6602400000000002,6.24,-5.6256,0.66,0.12046599999999995,0.23484096000000002,0.0320185592,0.15949599999999997,0.6027699999999998,122.82694,3.98
std,0.08508403768855682,0.1587157078501285,3.804186737621311,2.3251455868396715,0.4785181206984066,0.1098497463792786,0.2308842737601534,0.15816461943419555,0.10154320073902798,0.19781885163255922,34.131143976720026,0.24660966430902945
min,0.46399999999999997,0.218,0.0,-15.177,0.0,0.0291,0.0005480000000000001,0.0,0.0393,0.0605,75.801,3.0
max,0.879,0.905,11.0,-2.454,1.0,0.48,0.866,0.81,0.544,0.96,178.22799999999998,5.0
