,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6855199999999999,0.6576799999999998,5.32,-6.074760000000001,0.62,0.106272,0.24003540000000004,0.019950021200000004,0.15973800000000005,0.48721599999999987,121.32227999999995,3.92
std,0.13261071462236024,0.16605794906893073,3.5076592578794994,2.1181860506825463,0.49031435147801455,0.09168476614387552,0.2323930024606892,0.12684377225771973,0.13275867147972378,0.21768248676661608,21.656152804395962,0.5283783431116261
min,0.37799999999999995,0.262,0.0,-11.652000000000001,0.0,0.0294,0.00175,0.0,0.0313,0.0454,79.992,1.0
max,0.953,0.966,11.0,-1.746,1.0,0.41200000000000003,0.838,0.897,0.846,0.855,173.09400000000002,5.0
