,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.66498,0.67684,5.48,-6.371219999999999,0.56,0.114266,0.19826326000000002,0.020075983800000002,0.20042399999999996,0.49318399999999996,119.60927999999998,3.96
std,0.16484581416881533,0.16997627205355603,3.7592878179196636,3.06741556635789,0.5014265364224069,0.08979789691187606,0.24406902666729094,0.10613764092866565,0.1413490592650055,0.25426093006024747,23.604959155574203,0.44994330708638913
min,0.204,0.217,0.0,-15.805,0.0,0.0289,0.000125,0.0,0.0602,0.0509,79.938,1.0
max,0.934,0.96,11.0,-1.412,1.0,0.501,0.9390000000000001,0.7390000000000001,0.667,0.951,179.986,5.0
