,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.71942,0.5986199999999999,6.56,-6.955839999999996,0.36,0.138214,0.22525308000000002,0.0011879146,0.19358600000000004,0.4794819999999999,123.89077999999998,4.0
std,0.12619228767792331,0.17837759651586158,3.3206834801754597,3.0025065471559405,0.4848732213850611,0.10890891534129023,0.2700003661624758,0.004792942913718895,0.17123403963760314,0.21206426604851153,27.27244997360628,0.4948716593053935
min,0.46399999999999997,0.13,0.0,-18.725,0.0,0.0304,0.000248,0.0,0.0426,0.0605,75.801,1.0
max,0.958,0.9640000000000001,11.0,-1.949,1.0,0.418,0.898,0.0254,0.857,0.9620000000000001,180.291,5.0
