,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.70194,0.59372,4.62,-7.243500000000001,0.64,0.10372599999999998,0.21302540000000003,0.0320316484,0.15946199999999994,0.38547000000000003,121.39701999999997,4.0
std,0.136625573546605,0.1812813846156391,3.832673708405406,2.533869326801626,0.4848732213850611,0.07245916178462605,0.21100098094568384,0.14293573781745575,0.10008297147662949,0.21294605453695814,23.59238402491752,0.2857142857142857
min,0.42100000000000004,0.217,0.0,-15.372,0.0,0.0312,0.00123,0.0,0.047,0.037000000000000005,79.943,3.0
max,0.9359999999999999,0.902,11.0,-3.072,1.0,0.36700000000000005,0.8370000000000001,0.775,0.5379999999999999,0.845,173.03,5.0
