,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
mean,0.6565000000000001,0.64202,4.76,-7.26838,0.62,0.12621399999999997,0.21402730999999997,0.029617902400000003,0.18317800000000006,0.46784,123.57226,4.0
std,0.15649571292295936,0.20664960879790342,3.4850116387824275,2.8981418951614146,0.4903143514780145,0.13676101755415898,0.25770366168168085,0.11293897601181765,0.14541556395660102,0.22014794283548025,29.58346613091129,0.2857142857142857
min,0.304,0.175,0.0,-14.88,0.0,0.0287,1.9600000000000002e-05,0.0,0.0269,0.057,70.98100000000001,3.0
max,0.9490000000000001,0.987,11.0,-3.2439999999999998,1.0,0.6679999999999999,0.9520000000000001,0.738,0.7240000000000001,0.802,184.013,5.0
